id,title,keywords,rating,solved
1729C,Jumping on Tiles,"constructive algorithms, strings",1100,18482
1729B,Decode String,"greedy, strings",800,28284
1729A,Two Elevators,math,800,36983
1728G,Illumination,"binary search, bitmasks, brute force, combinatorics, dp, math, two pointers",2700,369
1728F,Fishermen,"flows, graph matchings, greedy",3100,357
1728E ,Red-Black Pepper,"brute force, data structures, greedy, math, number theory",2300,1580
1728D,Letter Picking,"constructive algorithms, dp, games, two pointers",1800,6509
1728C,Digital Logarithm,"data structures, greedy, sortings",1400,14147
1728B,Best Permutation,"constructive algorithms, greedy",800,19624
1728A,Colored Balls: Revisited,"brute force, greedy, implementation, sortings",800,23959
1726H,Mainak and the Bleeding Polygon,"binary search, geometry, implementation, math",3500,74
1726G,A Certain Magical Party,"combinatorics, data structures, greedy, sortings",3300,268
1726F,Late For Work (submissions are not allowed),"data structures, greedy, schedules, shortest paths",2900,131
1726E ,Almost Perfect,"combinatorics, fft, math",2400,1284
1726D,Edge Split,"brute force, constructive algorithms, dfs and similar, dsu, graphs, probabilities, trees",2000,3424
1726C,Jatayu's Balanced Bracket Sequence,"data structures, dsu, graphs, greedy",1300,11500
1726B,Mainak and Interesting Sequence,"bitmasks, constructive algorithms, math",1100,14194
1726A,Mainak and Array,"greedy, math",900,18183
1725M,Moving Both Hands,"dp, graphs, shortest paths",1800,2631
1725L,Lemper Cooking Competition,data structures,2400,792
1725K,Kingdom of Criticism,"data structures, dsu",2500,542
1725J,Journey,"dp, trees",2500,339
1725I,Imitating the Key Tree,"combinatorics, dsu, trees",2800,166
1725H,Hot Black Hot White,"constructive algorithms, math",1800,2387
1725G,Garage,"binary search, geometry, math",1500,5254
1725F,Field Photography,"bitmasks, data structures, sortings",2100,898
1725E ,Electrical Efficiency,"combinatorics, data structures, dp, math, number theory, trees",2500,407
1725D,Deducing Sortability,"binary search, bitmasks, math",2900,113
1725C,Circular Mirror,"binary search, combinatorics, geometry, math, two pointers",2000,1458
1725B,Basketball Together,"binary search, greedy, sortings",1000,10064
1725A,Accumulation of Dominoes,math,800,8899
1722G,Even-Odd XOR,"bitmasks, constructive algorithms, greedy",1500,9244
1722F,L-shapes,"dfs and similar, implementation",1700,6163
1722E ,Counting Rectangles,"brute force, data structures, dp, implementation",1600,9178
1722D,Line,"greedy, sortings",1100,20847
1722C,Word Game,"data structures, implementation",800,27698
1722B,Colourblindness,implementation,800,40000
1722A,Spell Check,implementation,800,42745
1721F,Matching Reduction,"brute force, constructive algorithms, dfs and similar, flows, graph matchings, graphs, interactive",2800,339
1721E ,Prefix Function Queries,"dfs and similar, dp, hashing, string suffix structures, strings, trees",2200,1702
1721D,Maximum AND,"bitmasks, dfs and similar, divide and conquer, greedy, sortings",1800,5914
1721C,Min-Max Array Transformation,"binary search, greedy, two pointers",1400,12383
1721B,Deadly Laser,implementation,1000,20838
1721A,Image,"greedy, implementation",800,26007
1720E ,Misha and Paintings,"constructive algorithms, data structures, greedy, implementation, math",2700,709
1720D2,Xor-Subsequence (hard version),"bitmasks, data structures, dp, strings, trees",2400,1645
1720D1,Xor-Subsequence (easy version),"bitmasks, brute force, dp, strings, trees, two pointers",1800,5445
1720C,Corners,"greedy, implementation",1200,15677
1720B,Interesting Sum,"brute force, data structures, greedy, math, sortings",800,20268
1720A,Burenka Plays with Fractions,"math, number theory",900,20907
1719C,Fighting Tournament,"binary search, data structures, implementation, two pointers",1400,12304
1719B,Mathematical Circus,"constructive algorithms, math",800,18049
1719A,Chip Game,"games, math",800,24458
1718F,"Burenka, an Array and Queries","data structures, math, number theory",3300,138
1718E ,Impressionism,"constructive algorithms, graphs, implementation, math",3500,97
1718D,Permutation for Burenka,"data structures, graph matchings, greedy, math, trees",3300,259
1718C,Tonya and Burenka-179,"data structures, greedy, math, number theory",2400,1448
1718B,Fibonacci Strings,"greedy, implementation, math, number theory",2000,2740
1718A2,Burenka and Traditions (hard version),"data structures, dp, greedy",1900,4719
1718A1,Burenka and Traditions (easy version),"dp, greedy",1800,5208
1717F,Madoka and The First Session,"constructive algorithms, flows, graph matchings, graphs, implementation",2500,479
1717E ,Madoka and The Best University,"math, number theory",2200,2327
1717D,Madoka and The Corruption Scheme,"combinatorics, constructive algorithms, greedy, math",1900,4086
1717C,Madoka and Formal Statement,greedy,1300,13410
1717B,Madoka and Underground Competitions,"constructive algorithms, implementation",1100,14191
1717A,Madoka and Strange Thoughts,"math, number theory",800,18793
1716F,Bags with Balls,"combinatorics, dp, math, number theory",2500,941
1716E ,Swap and Maximum Block,"bitmasks, data structures, dfs and similar, divide and conquer, dp",2500,953
1716D,Chip Move,"brute force, dp, math",2000,4750
1716C,Robot in a Hallway,"data structures, dp, greedy, implementation, ternary search",2000,3887
1716B,Permutation Chain,"constructive algorithms, math",800,20970
1716A,2-3 Moves,"greedy, math",800,30224
1715F,Crop Squares,"constructive algorithms, geometry, interactive, math",2700,484
1715E ,Long Way Home,"data structures, divide and conquer, dp, geometry, graphs, greedy, shortest paths",2400,1505
1715D,2+ doors,"2-sat, bitmasks, graphs, greedy",1900,4624
1715C,Monoblock,"combinatorics, data structures, implementation, math",1700,8006
1715B,Beautiful Array,"constructive algorithms, greedy, math",1000,18817
1715A,Crossmarket,"constructive algorithms, greedy, math",800,22838
1714G,Path Prefixes,"binary search, data structures, dfs and similar, trees",1700,6667
1714F,Build a Tree and That Is It,"constructive algorithms, implementation, trees",1900,2920
1714E ,Add Modulo 10,"brute force, math, number theory",1400,14039
1714D,Color with Occurrences,"brute force, data structures, dp, greedy, strings",1600,8100
1714C,Minimum Varied Number,greedy,800,28654
1714B,Remove Prefix,"data structures, greedy, implementation",800,27957
1714A,Everyone Loves to Sleep,"implementation, math",900,27062
1713F,Lost Array,"bitmasks, combinatorics, constructive algorithms, dp, math",2900,457
1713E ,Cross Swapping,"2-sat, data structures, dsu, greedy, matrices",2400,1459
1713D,Tournament Countdown,"constructive algorithms, greedy, interactive, number theory, probabilities",1800,5268
1713C,Build Permutation,"constructive algorithms, dp, math",1200,16115
1713B,Optimal Reduction,"constructive algorithms, sortings",1000,20094
1713A,Traveling Salesman Problem,"geometry, greedy, implementation",800,21270
1712F,Triameter,"binary search, data structures, dfs and similar, trees",3200,281
1712E 2,LCM Sum (hard version),"brute force, data structures, math, number theory, two pointers",2500,1126
1712E 1,LCM Sum (easy version),"binary search, brute force, combinatorics, math, number theory, two pointers",2300,1953
1712D,Empty Graph,"binary search, constructive algorithms, data structures, greedy, shortest paths",2000,4095
1712C,Sort Zero,"greedy, sortings",1100,18548
1712B,Woeful Permutation,"constructive algorithms, greedy, number theory",800,20948
1712A,Wonderful Permutation,"greedy, implementation",800,23421
1711B,Party,"brute force, graphs",1300,12697
1711A,Perfect Permutation,constructive algorithms,800,24239
1710E ,Two Arrays,"binary search, games, graph matchings",2400,427
1710D,Recover the Tree,"constructive algorithms, trees",3400,393
1710C,XOR Triangle,"bitmasks, brute force, constructive algorithms, dp, greedy, math",2500,1239
1710B,Rain,"binary search, brute force, data structures, geometry, greedy, implementation, math",2100,2286
1710A,Color the Picture,"constructive algorithms, greedy, math",1500,10204
1709F,Multiset of Strings,"bitmasks, brute force, dp, fft, flows, graphs, math, meet-in-the-middle, trees",2500,502
1709E ,XOR Tree,"bitmasks, data structures, dfs and similar, dsu, greedy, trees",2400,2182
1709D,Rorororobot,"binary search, data structures, greedy, math",1700,7701
1709C,Recover an RBS,"constructive algorithms, greedy, implementation, strings",1800,8150
1709B,Also Try Minecraft,"data structures, dp, implementation",900,21140
1709A,Three Doors,"brute force, greedy, implementation, math",800,28263
1708B,Difference of GCDs,"constructive algorithms, math",1100,18539
1708A,Difference Operations,"greedy, math",800,21166
1707F,Bugaboo,"bitmasks, constructive algorithms, dp, number theory",3500,130
1707E ,Replace,"binary search, data structures",3500,502
1707D,Partial Virtual Trees,"combinatorics, dfs and similar, dp, math, trees",3000,529
1707C,DFS Trees,"dfs and similar, dsu, graphs, greedy, sortings, trees",2400,1288
1707B,Difference Array,"brute force, data structures, implementation, sortings",1900,5335
1707A,Doremy's IQ,"binary search, constructive algorithms, greedy, implementation",1600,12215
1706E ,Qpwoeirut and Vertices,"binary search, data structures, dfs and similar, divide and conquer, dsu, greedy, trees",2300,2201
1706D2,Chopping Carrots (Hard Version),"brute force, constructive algorithms, data structures, dp, greedy, math, number theory, two pointers",2400,1600
1706D1,Chopping Carrots (Easy Version),"binary search, brute force, constructive algorithms, greedy, number theory",1700,6403
1706C,Qpwoeirut And The City,"dp, flows, greedy, implementation",1400,13786
1706B,Making Towers,"dp, greedy, math",1100,15846
1706A,Another String Minimization Problem,"2-sat, constructive algorithms, greedy, string suffix structures, strings",800,22163
1705F,Mark and the Online Exam,"bitmasks, constructive algorithms, interactive, probabilities",2900,542
1705E ,Mark and Professor Koro,"binary search, bitmasks, brute force, combinatorics, data structures, greedy",2300,1864
1705D,Mark and Lightbulbs,"combinatorics, constructive algorithms, greedy, math, sortings",1800,5865
1705C,Mark and His Unfinished Essay,"brute force, implementation",1400,12481
1705B,Mark the Dust Sweeper,"constructive algorithms, greedy, implementation",900,21390
1705A,Mark the Photographer,"greedy, sortings",800,24222
1704H2,Game of AI (hard version),"combinatorics, fft, math",3500,67
1704H1,Game of AI (easy version),"combinatorics, constructive algorithms, dp, fft, math",3200,161
1704G,Mio and Lucky Array,"constructive algorithms, fft, math, strings",3500,90
1704F,Colouring Game,"constructive algorithms, dp, games",2600,861
1704E ,Count Seconds,"brute force, constructive algorithms, dp, graphs, implementation, math",2200,2157
1704D,Magical Array,"constructive algorithms, hashing, implementation, math",1900,4700
1704C,Virus,"greedy, implementation, sortings",1200,13224
1704B,Luke is a Foodie,"brute force, greedy, implementation",1000,15112
1704A,Two 0-1 Sequences,"constructive algorithms, greedy",800,15534
1703G,"Good Key, Bad Key","bitmasks, brute force, dp, greedy, math",1600,9188
1703F,Yet Another Problem About Pairs Satisfying an Inequality,"binary search, data structures, dp, greedy, sortings",1300,16433
1703E ,Mirror Grid,implementation,1200,15515
1703D,Double Strings,"brute force, data structures, strings",1100,22607
1703C,Cypher,"brute force, implementation, strings",800,32410
1703B,ICPC Balloons,"data structures, implementation",800,41666
1703A,YES or YES?,"brute force, implementation, strings",800,55716
1702G2,Passable Paths (hard version),"data structures, dfs and similar, trees",2000,3997
1702G1,Passable Paths (easy version),"dfs and similar, trees",1900,4807
1702F,Equate Multisets,"constructive algorithms, data structures, greedy, math, number theory",1700,7513
1702E ,Split Into Two Sets,"dfs and similar, dsu, graphs",1600,11279
1702D,Not a Cheap String,greedy,1000,21889
1702C,Train and Queries,"data structures, greedy",1100,20346
1702B,Polycarp Writes a String from Memory,greedy,800,26109
1702A,Round Down the Price,constructive algorithms,800,32047
1701F,Points,"combinatorics, data structures, implementation, math, matrices",2500,848
1701E ,Text Editor,"brute force, dp, greedy, strings",2500,1034
1701D,Permutation Restoration,"binary search, data structures, greedy, math, sortings, two pointers",1900,5252
1701C,Schedule Management,"binary search, greedy, implementation, two pointers",1400,14628
1701B,Permutation,greedy,800,19665
1701A,Grass Field,implementation,800,25214
1700F,Puzzle,"constructive algorithms, dp, greedy",2600,796
1700E ,Serega the Pirate,"brute force, constructive algorithms",2600,794
1700D,River Locks,"binary search, dp, greedy, math",1900,5606
1700C,Helping the Nature,"constructive algorithms, data structures, greedy",1700,10010
1700B,Palindromic Numbers,"constructive algorithms, implementation, math",1100,17718
1700A,Optimal Path,"constructive algorithms, greedy, math",800,22173
1699E ,Three Days Grace,"data structures, dp, greedy, math, number theory, two pointers",2600,1007
1699D,Almost Triple Deletions,"data structures, dp, greedy",2300,2925
1699C,The Third Problem,"combinatorics, constructive algorithms, math",1700,9017
1699B,Almost Ternary Matrix,"bitmasks, constructive algorithms, matrices",900,18671
1699A,The Third Three Number Problem,"constructive algorithms, math",800,23286
1698G,Long Binary String,"bitmasks, math, matrices, meet-in-the-middle, number theory",2900,292
1698F,Equal Reversal,"constructive algorithms, graphs, implementation, math",2800,523
1698E ,PermutationForces II,"brute force, combinatorics, greedy, sortings, trees, two pointers",2300,1515
1698D,Fixed Point Guessing,"binary search, constructive algorithms, interactive",1600,8182
1698C,3SUM Closure,"brute force, data structures",1300,17003
1698B,Rising Sand,"constructive algorithms, greedy, implementation",800,20389
1698A,XOR Mixup,"bitmasks, brute force",800,26695
1697F,Too Many Constraints,"2-sat, constructive algorithms, graphs, implementation",2800,449
1697E ,Coloring,"brute force, combinatorics, constructive algorithms, dp, geometry, graphs, greedy, implementation, math",2400,1104
1697D,Guess The String,"binary search, constructive algorithms, interactive",1900,4100
1697C,awoo's Favorite Problem,"binary search, constructive algorithms, data structures, greedy, implementation, strings, two pointers",1400,13370
1697B,Promo,"greedy, sortings",900,24178
1697A,Parkway Walk,"greedy, implementation",800,24976
1696H,Maximum Product?,"brute force, combinatorics, dp, greedy, implementation, math, two pointers",3500,130
1696G,Fishingprince Plays With Array Again,"brute force, data structures, geometry, math",3300,248
1696F,Tree Recovery,"brute force, constructive algorithms, dfs and similar, dsu, graphs, trees",2600,799
1696E ,Placing Jinas,"combinatorics, math",2000,3659
1696D,Permutation Graph,"binary search, constructive algorithms, data structures, divide and conquer, greedy, shortest paths",1900,4986
1696C,Fishingprince Plays With Array,"constructive algorithms, greedy, implementation, math",1400,10934
1696B,NIT Destroys the Universe,greedy,900,17775
1696A,NIT orz!,"bitmasks, greedy",800,17707
1695E ,Ambiguous Dominoes,"constructive algorithms, dfs and similar, graphs",2700,408
1695D2,Tree Queries (Hard Version),"constructive algorithms, dfs and similar, dp, greedy, trees",2300,1824
1695D1,Tree Queries (Easy Version),"brute force, constructive algorithms, dfs and similar, dp, greedy, trees",2200,1986
1695C,Zero Path,"brute force, data structures, dp, graphs, greedy, shortest paths",1700,9814
1695B,Circle Game,"games, greedy",1000,17528
1695A,Subrectangle Guess,games,800,15937
1694B,Paranoid String,"constructive algorithms, greedy",1200,17769
1694A,Creep,"greedy, implementation",800,21694
1693F,I Might Be Wrong,"binary search, greedy, two pointers",3400,248
1693E ,Outermost Maximums,"data structures, greedy",3400,338
1693D,Decinc Dividing,"brute force, data structures, divide and conquer, dp, greedy",2800,735
1693C,Keshi in Search of AmShZ,"graphs, greedy, shortest paths",2300,2290
1693B,Fake Plastic Trees,"dfs and similar, dp, greedy, trees",1700,7680
1693A,Directional Increase,greedy,1300,15055
1692H,Gambling,"data structures, dp, greedy, math",1700,6545
1692G,2^Sort,"data structures, dp, sortings, two pointers",1400,14300
1692F,3SUM,"brute force, math",1300,19118
1692E ,Binary Deque,"binary search, implementation, two pointers",1200,18066
1692D,The Clock,"brute force, implementation",1100,17869
1692C,Where's the Bishop?,implementation,800,30866
1692B,All Distinct,"greedy, sortings",800,30951
1692A,Marathon,implementation,800,53679
1691F,K-Set Tree,"combinatorics, dfs and similar, dp, math, trees",2500,864
1691E ,Number of Groups,"data structures, dfs and similar, dsu, graphs, greedy, sortings",2300,1665
1691D,Max GEQ Sum,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",1800,5120
1691C,Sum of Substrings,"brute force, constructive algorithms, greedy, math, strings",1400,14468
1691B,Shoe Shuffling,"constructive algorithms, greedy, implementation, two pointers",1000,19942
1691A,Beat The Odds,"brute force, greedy, math",800,28758
1690G,Count the Trains,"binary search, data structures, greedy, sortings",2000,3057
1690F,Shifting String,"graphs, math, number theory, strings",1700,6432
1690E ,Price Maximization,"binary search, greedy, math, two pointers",1500,13686
1690D,Black and White Stripe,"implementation, two pointers",1000,24240
1690C,Restoring the Duration of Tasks,"data structures, greedy, implementation",800,24746
1690B,Array Decrements,"greedy, implementation",800,24056
1690A,Print a Pedestal (Codeforces logo?),"constructive algorithms, greedy",800,31580
1689E ,ANDfinity,"bitmasks, brute force, constructive algorithms, dfs and similar, dsu, graphs",2500,1110
1689D,Lena and Matrix,"data structures, dp, geometry, shortest paths",1900,3883
1689C,Infected Tree,"dfs and similar, dp, trees",1600,9811
1689B,Mystic Permutation,"data structures, greedy",900,16704
1689A,Lex String,"brute force, greedy, implementation, sortings, two pointers",800,16077
1688C,Manipulating History,"constructive algorithms, greedy, strings",1700,7643
1688B,Patchouli's Magical Talisman,"bitmasks, constructive algorithms, greedy, sortings",800,17550
1688A,Cirno's Perfect Bitmasks Classroom,"bitmasks, brute force",800,20086
1687F,Koishi's Unconscious Permutation,"fft, math",3500,70
1687E ,Become Big For Me,"combinatorics, constructive algorithms, greedy, math, number theory",3500,193
1687D,Cute number,"binary search, brute force, data structures, dsu, implementation, math",2900,528
1687C,Sanae and Giant Robot,"binary search, brute force, data structures, dsu, greedy, sortings",2500,1284
1687B,Railway System,"constructive algorithms, graphs, greedy, interactive, sortings",1700,3348
1687A,The Enchanted Forest,"brute force, greedy",1600,9525
1686B,Odd Subarrays,"dp, greedy",800,17600
1686A,Everything Everywhere All But One,greedy,800,19960
1685E ,The Ultimate LIS Problem,"data structures, greedy",3500,128
1685D2,Permutation Weight (Hard Version),"constructive algorithms, greedy",3500,94
1685D1,Permutation Weight (Easy Version),"constructive algorithms, dfs and similar, dsu",2800,403
1685C,Bring Balance,"brute force, constructive algorithms, greedy",2600,860
1685B,Linguistics,"greedy, implementation, sortings, strings",2000,3017
1685A,Circular Local MiniMax,"constructive algorithms, greedy, sortings",1100,16039
1684H,Hard Cut,"constructive algorithms, dfs and similar, divide and conquer, math",3400,222
1684G,Euclid Guess,"constructive algorithms, flows, graph matchings, math, number theory",2800,529
1684F,Diverse Segments,"data structures, two pointers",2600,806
1684E ,MEX vs DIFF,"binary search, brute force, constructive algorithms, data structures, greedy, two pointers",2100,2906
1684D,Traps,"constructive algorithms, greedy, sortings",1700,8928
1684C,Column Swapping,"brute force, constructive algorithms, greedy, implementation, sortings",1400,11613
1684B,Z mod X = C,"constructive algorithms, math",800,20291
1684A,Digit Minimization,"constructive algorithms, games, math, strings",800,23074
1682F,MCMF?,"data structures, flows, graphs, greedy, sortings, two pointers",2700,271
1682E ,Unordered Swaps,"constructive algorithms, dfs and similar, graphs, greedy, math, sortings, trees",2700,535
1682D,Circular Spanning Tree,"constructive algorithms, implementation, trees",2000,3062
1682C,LIS or Reverse LIS?,"constructive algorithms, greedy, implementation, math",1400,13538
1682B,AND Sorting,"bitmasks, constructive algorithms, sortings",1100,16266
1682A,Palindromic Indices,"greedy, strings",800,18749
1681F,Unique Occurrences,"data structures, dfs and similar, divide and conquer, dp, dsu, trees",2300,1442
1681E ,Labyrinth Adventures,"data structures, dp, matrices, shortest paths",2600,672
1681D,Required Length,"brute force, dfs and similar, dp, hashing, shortest paths",1700,8780
1681C,Double Sort,"implementation, sortings",1200,16367
1681B,Card Trick,"implementation, math",800,19485
1681A,Game with Cards,"games, greedy",800,20460
1680F,Lenient Vertex Cover,"dfs and similar, divide and conquer, dsu, graphs, trees",2600,568
1680E ,Moving Chips,"bitmasks, dp, greedy",2000,3468
1680D,Dog Walking,"brute force, greedy, math",2400,1067
1680C,Binary String,"binary search, greedy, strings, two pointers",1600,9058
1680B,Robots,implementation,800,17850
1680A,Minimums and Maximums,"brute force, math",800,20736
1679F,Formalism for Formalism,"bitmasks, dp, math",2600,463
1679E ,Typical Party in Dorm,"bitmasks, combinatorics, dp, strings",2400,1039
1679D,Toss a Coin to Your Graph...,"binary search, dfs and similar, dp, graphs",1900,4356
1679C,Rooks Defenders,"data structures, implementation",1400,9512
1679B,Stone Age Problem,"data structures, implementation",1200,15778
1679A,AvtoBus,"brute force, greedy, math, number theory",900,20046
1678B2,Tokitsukaze and Good 01-String (hard version),"dp, greedy, implementation",1800,6190
1678B1,Tokitsukaze and Good 01-String (easy version),implementation,800,15451
1678A,Tokitsukaze and All Zero Sequence,implementation,800,17724
1677F,Tokitsukaze and Gems,"dp, math",3500,84
1677E ,Tokitsukaze and Beautiful Subsegments,data structures,2900,427
1677D,Tokitsukaze and Permutations,"dp, math",2500,1088
1677C,Tokitsukaze and Two Colorful Tapes,"constructive algorithms, dfs and similar, graphs, greedy",1900,3233
1677B,Tokitsukaze and Meeting,"data structures, implementation, math",1700,3860
1677A,Tokitsukaze and Strange Inequality,"brute force, data structures, dp",1600,7783
1676H2,Maximum Crossings (Hard Version),"data structures, divide and conquer, sortings",1500,9204
1676H1,Maximum Crossings (Easy Version),brute force,1400,12419
1676G,White-Black Balanced Subtrees,"dfs and similar, dp, graphs, trees",1300,12874
1676F,Longest Strike,"data structures, greedy, implementation, sortings, two pointers",1300,14783
1676E ,Eating Queries,"binary search, greedy, sortings",1100,22905
1676D,X-Sum,"brute force, greedy, implementation",1000,22541
1676C,Most Similar Words,"brute force, greedy, implementation, implementation, math, strings",800,27253
1676B,Equal Candies,"greedy, math, sortings",800,41610
1676A,Lucky?,implementation,800,51832
1675G,Sorting Pancakes,dp,2300,1501
1675F,Vlad and Unfinished Business,"dfs and similar, dp, greedy, trees",1800,4706
1675E ,"Replace With the Previous, Minimize","dsu, greedy, strings",1500,9456
1675D,Vertical Paths,"graphs, implementation, trees",1300,11977
1675C,Detective Task,implementation,1100,17136
1675B,Make It Increasing,"greedy, implementation",900,22794
1675A,Food for Animals,"greedy, math",800,30140
1674G,Remove Directed Edges,"dfs and similar, dp, graphs",2000,2267
1674F,Desktop Rearrangement,"data structures, greedy, implementation",1800,4666
1674E ,Breaking the Wall,"binary search, brute force, constructive algorithms, greedy, math",2000,5836
1674D,A-B-C Sort,"constructive algorithms, implementation, sortings",1200,15142
1674C,Infinite Replacement,"combinatorics, implementation, strings",1000,22042
1674B,Dictionary,"combinatorics, math",800,24815
1674A,Number Transformation,"constructive algorithms, math",800,24896
1673F,Anti-Theft Road Planning,"bitmasks, constructive algorithms, divide and conquer, greedy, interactive, math",2400,737
1673E ,Power or XOR?,"bitmasks, combinatorics, math, number theory",2500,630
1673D,Lost Arithmetic Progression,"combinatorics, math, number theory",1900,3075
1673C,Palindrome Basis,"brute force, dp, math, number theory",1500,10932
1673B,A Perfectly Balanced String?,"brute force, greedy, strings",1100,13606
1673A,Subtle Substring Subtraction,"games, greedy, strings",800,17967
1672I,PermutationForces,"data structures, greedy",3000,127
1672H,Zigu Zagu,"constructive algorithms, data structures, greedy",2700,868
1672G,Cross Xor,"constructive algorithms, graphs, math, matrices",3200,295
1672F2,Checker for Array Shuffling,"constructive algorithms, dfs and similar, graphs",2800,722
1672F1,Array Shuffling,"constructive algorithms, graphs, greedy",2000,2830
1672E ,notepad.exe,"binary search, constructive algorithms, greedy, interactive",2200,2004
1672D,Cyclic Rotation,"constructive algorithms, greedy, implementation, two pointers",1700,5766
1672C,Unequal Array,"constructive algorithms, greedy, implementation",1100,12554
1672B,I love AAAB,"constructive algorithms, implementation",800,15277
1672A,Log Chopping,"games, implementation, math",800,15534
1671F,Permutation Counting,"brute force, combinatorics, dp, fft, math",2700,300
1671E ,Preorder,"combinatorics, divide and conquer, dp, dsu, hashing, sortings, trees",2100,2542
1671D,Insert a Progression,"brute force, constructive algorithms, greedy",1600,6928
1671C,Dolce Vita,"binary search, brute force, greedy, math",1200,14930
1671B,Consecutive Points Segment,"brute force, math, sortings",1000,17737
1671A,String Building,implementation,800,19882
1670F,"Jee, You See?","bitmasks, combinatorics, dp",2400,881
1670E ,Hemose on the Tree,"bitmasks, constructive algorithms, dfs and similar, trees",2200,1609
1670D,Very Suspicious,"binary search, brute force, geometry, greedy, implementation, math",1700,4795
1670C,Where is the Pizza?,"data structures, dfs and similar, dsu, graphs, implementation, math",1400,9072
1670B,Dorms War,"brute force, implementation, strings",1100,12135
1670A,Prof. Slim,"greedy, implementation, sortings",800,15022
1669H,Maximal AND,"bitmasks, greedy, math",1300,14600
1669G,Fall Down,"dfs and similar, implementation",1200,16200
1669F,Eating Candies,"binary search, data structures, greedy, two pointers",1100,20915
1669E ,2-Letter Strings,"data structures, math, strings",1200,15803
1669D,Colorful Stamp,implementation,1100,19833
1669C,Odd/Even Increments,"greedy, greedy, implementation, math",800,30950
1669B,Triple,"implementation, sortings",800,36720
1669A,Division?,implementation,800,50438
1668B,Social Distance,"greedy, math, sortings",900,15753
1668A,Direction Change,"implementation, math",800,15951
1667F,Yin Yang,implementation,3500,84
1667E ,Centroid Probabilities,"combinatorics, dp, fft, math",3000,530
1667D,Edge Elimination,"constructive algorithms, dfs and similar, dp, trees",2900,597
1667C,Half Queen Cover,"constructive algorithms, math",2400,1399
1667B,Optimal Partition,"data structures, dp",2100,3315
1667A,Make it Increasing,"brute force, greedy, math",1300,13878
1666L,Labyrinth,"dfs and similar, graphs",1800,2878
1666K,Kingdom Partition,flows,3200,160
1666J,Job Lookup,"constructive algorithms, dp, shortest paths, trees",2100,1248
1666I,Interactive Treasure Hunt,"brute force, constructive algorithms, geometry, interactive, math",2200,1342
1666H,Heroes of Might,math,3500,57
1666G,Global Warming,"geometry, math",3100,127
1666F,Fancy Stack,"combinatorics, dp, implementation",2200,1047
1666E ,Even Split,"binary search, constructive algorithms, greedy, math",2500,651
1666D,Deletive Editing,greedy,900,5869
1666C,Connect the Points,"brute force, constructive algorithms, geometry",1800,2986
1666B,Budget Distribution,,3300,51
1666A,Admissible Map,,3300,96
1665E ,MinimizOR,"bitmasks, brute force, data structures, divide and conquer, greedy, implementation, two pointers",2500,1356
1665D,GCD Guess,"bitmasks, chinese remainder theorem, constructive algorithms, games, interactive, math, number theory",2000,3502
1665C,Tree Infection,"binary search, greedy, sortings, trees",1600,7653
1665B,Array Cloning Technique,"constructive algorithms, greedy, sortings",900,17361
1665A,GCD vs LCM,"constructive algorithms, math",800,22313
1663H,Cross-Language Program,"*special problem, constructive algorithms",,1186
1663G,Six Characters,"*special problem, constructive algorithms, strings",,189
1663F,In Every Generation...,"*special problem, strings",,310
1663E ,Are You Safe?,"*special problem, implementation",,513
1663D,Is it rated - 3,"*special problem, combinatorics, dp, math",,1329
1663C,Pōja Verdon,"*special problem, implementation, math",,5448
1663B,Mike's Sequence,"*special problem, divide and conquer, implementation, math",,3218
1663A,Who Tested?,"*special problem, expression parsing, trees",,9996
1662O,Circular Maze,"brute force, dfs and similar, graphs, implementation",,1184
1662N,Drone Photo,"combinatorics, math, sortings",,618
1662M,Bottle Arrangements,constructive algorithms,,3086
1662L,Il Derby della Madonnina,"data structures, dp, math",,925
1662K,Pandemic Restrictions,"geometry, ternary search",,273
1662J,Training Camp,"flows, graphs",,118
1662I,Ice Cream Shop,"brute force, implementation, sortings",,1842
1662H,Boundary,"brute force, math",,2613
1662G,Gastronomic Event,"dp, greedy, trees",,408
1662F,Antennas,"data structures, dfs and similar, graphs, graphs, implementation, implementation, shortest paths, shortest paths",,895
1662E ,Round Table,math,,112
1662D,Evolution of Weasels,"greedy, implementation, strings",,1584
1662C,European Trip,"dp, graphs, math, matrices",,279
1662B,Toys,"greedy, strings",,126
1662A,Organizing SWERC,"brute force, implementation",,4007
1661F,Teleporters,"binary search, greedy",2600,529
1661E ,Narrow Components,"brute force, data structures, dp, dsu, math, trees",2500,872
1661D,Progressions Covering,"data structures, greedy",1900,4340
1661C,Water the Trees,"binary search, greedy, math",1700,8600
1661B,Getting Zero,"bitmasks, brute force, dfs and similar, dp, graphs, greedy, shortest paths",1300,16174
1661A,Array Balancing,"greedy, math",800,17983
1660F2,Promising String (hard version),"data structures, implementation, math, strings",2100,2483
1660F1,Promising String (easy version),"brute force, implementation, math, strings",1700,6688
1660E ,Matrix and Shifts,"brute force, constructive algorithms, greedy, implementation",1600,6696
1660D,Maximum Product Strikes Back,"brute force, implementation, math, two pointers",1600,7655
1660C,Get an Even String,"dp, greedy, strings",1300,17953
1660B,Vlad and Candies,math,800,26819
1660A,Vasya and Coins,"greedy, math",800,33894
1659F,Tree and Permutation Game,"dfs and similar, games, graphs, trees",3000,161
