id,title,keywords,rating,solved
1881D,Divide and Equalize,"math, number theory",1300,11616
1881C,Perfect Square,"brute force, implementation",1200,13893
1881B,Three Threadlets,math,900,20911
1881A,Don't Try to Count,"brute force, strings",800,22687
1879F,Last Man Standing,"brute force, data structures, number theory",2800,436
1879E ,Interactive Game with Coloring,"brute force, constructive algorithms, dfs and similar, graphs, implementation, interactive, trees",2400,1090
1879D,Sum of XOR Functions,"bitmasks, combinatorics, divide and conquer, dp, math",1700,5829
1879C,Make it Alternating,"combinatorics, dp, greedy",1300,13000
1879B,Chips on the Board,"constructive algorithms, greedy",900,19302
1879A,Rigged!,greedy,800,20808
1878G,wxhtzdy ORO Tree,"binary search, bitmasks, brute force, data structures, dfs and similar, implementation, trees",2300,953
1878F,Vasilije Loves Number Theory,"brute force, math, number theory",1900,3250
1878E ,Iva & Pav,"binary search, bitmasks, data structures, greedy",1400,9438
1878D,Reverse Madness,"data structures, greedy",1600,6600
1878C,Vasilije in Cacak,math,900,23799
1878B,Aleksa and Stack,"constructive algorithms, math",800,27638
1878A,How Much Does Daytona Cost?,greedy,800,33049
1877C,Joyboard,"math, number theory",1200,8625
1877A,Goals of Victory,math,800,14368
1876G,Clubstep,"binary search, brute force, data structures, greedy, trees",3500,71
1876F,Indefinite Clownfish,"binary search, graphs",3500,50
1876E ,Ball-Stackable,"constructive algorithms, data structures, dp, trees",3300,185
1876D,Lexichromatography,"combinatorics, dfs and similar, dsu, graphs, two pointers",2500,728
1876C,Autosynthesis,"constructive algorithms, dfs and similar, graphs, greedy, sortings",2100,1934
1876B,Effects of Anti Pimples,"combinatorics, number theory, sortings",1500,6389
1876A,Helmets in Night Light,"greedy, sortings",1000,11801
1875D,Jellyfish and Mex,dp,1600,6213
1875C,Jellyfish and Green Apple,"bitmasks, greedy, math, number theory",1400,9496
1875A,Jellyfish and Undertale,"brute force, greedy",900,17996
1874G,Jellyfish and Inscryption,dp,3500,48
1874F,Jellyfish and OEIS,dp,3500,109
1874E ,Jellyfish and Hack,"dp, math",3000,206
1874D,Jellyfish and Miku,"divide and conquer, dp, math, probabilities",2800,551
1874C,Jellyfish and EVA,"dp, graphs, greedy, math, probabilities",2300,1353
1874B,Jellyfish and Math,"bitmasks, brute force, dfs and similar, dp, graphs, shortest paths",2400,974
1874A,Jellyfish and Game,"brute force, games, greedy, implementation",1200,14074
1873H,Mad City,"dfs and similar, dsu, games, graphs, shortest paths, trees",1700,5565
1873G,ABBC or BACB,"constructive algorithms, greedy",1500,9918
1873F,Money Trees,"binary search, greedy, math, two pointers",1300,11863
1873E ,Building an Aquarium,"binary search, sortings",1100,19372
1873D,1D Eraser,"greedy, implementation, two pointers",800,29013
1873C,Target Practice,"implementation, math",800,29316
1873B,Good Kid,"brute force, greedy, math",800,37945
1873A,Short Sort,"brute force, implementation",800,40873
1872G,Replace With Product,"brute force, greedy, math",2000,3577
1872F,Selling a Menagerie,"dfs and similar, dsu, graphs, implementation, math",1800,5136
1872E ,Data Structures Fan,"binary search, bitmasks, data structures, dp",1500,10451
1872D,Plus Minus Permutation,math,1200,18052
1872C,Non-coprime Split,"math, number theory",1100,20167
1872B,The Corridor or There and Back Again,"greedy, implementation",900,24788
1872A,Two Vessels,"brute force, greedy, math",800,34628
1870H,Standard Graph Problem,"data structures, graphs, greedy, trees",3500,66
1870G,MEXanization,data structures,3300,172
1870F,Lazy Numbers,"binary search, math",2900,408
1870E ,Another MEX Problem,"bitmasks, brute force, dp, shortest paths",2300,2005
1870D,Prefix Purchase,"greedy, implementation, sortings",1800,5861
1870C,Colorful Table,"binary search, data structures, dp, implementation, math, two pointers",1300,9804
1870B,Friendly Arrays,"bitmasks, greedy, math",1200,12198
1870A,MEXanized Array,"constructive algorithms, greedy, math",800,17698
1869B,2D Traveling,"geometry, math, shortest paths, sortings",1100,12766
1869A,Make It Zero,constructive algorithms,900,15680
1868F,LIS?,"data structures, greedy, implementation",3500,51
1868E ,Min-Sum-Max,"constructive algorithms, dp, greedy",3500,61
1868D,Flower-like Pseudotree,"constructive algorithms, graphs, greedy, implementation, trees",3000,219
1868C,Travel Plan,"combinatorics, dp, implementation, math, trees",2400,983
1868B2,Candy Party (Hard Version),"bitmasks, constructive algorithms, dp, greedy, implementation, math",2100,2115
1868B1,Candy Party (Easy Version),"bitmasks, constructive algorithms, graphs, greedy, implementation, math",1700,5864
1868A,Fill in the Matrix,"constructive algorithms, implementation",1300,10186
1867F,Most Different Tree,"brute force, constructive algorithms, dfs and similar, greedy, hashing",2700,360
1867E 2,Salyg1n and Array (hard version),"constructive algorithms, interactive",2200,2735
1867E 1,Salyg1n and Array (simple version),"constructive algorithms, interactive, math",2000,3228
1867D,Cyclic Operations,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",1800,4850
1867C,Salyg1n and the MEX Game,"constructive algorithms, data structures, games, greedy, interactive",1300,9800
1867B,XOR Palindromes,"bitmasks, constructive algorithms, strings",1100,14470
1867A,"green_gold_dog, array and permutation","constructive algorithms, sortings",800,18240
1866M,Mighty Rock Tower,"brute force, combinatorics, dp, math, probabilities",2400,618
1866L,Lihmuf Balling,"binary search, brute force, math",2400,616
1866K,Keen Tree Calculation,"binary search, data structures, dp, geometry, graphs, implementation, trees",2500,371
1866J,Jackets and Packets,dp,2800,237
1866I,Imagination Castle,"dp, games, two pointers",2300,619
1866H,Happy Sets,combinatorics,2100,1426
1866G,Grouped Carriages,"binary search, data structures, dp, flows, greedy",2100,1379
1866F,Freak Joker Process,"binary search, data structures, sortings",3100,102
1866E ,Elevators of Tamem,dp,2700,242
1866D,Digital Wallet,"dp, greedy",2300,1062
1866C,Completely Searching for Inversions,"dfs and similar, dp, graphs",1900,2691
1866B,Battling with Numbers,"combinatorics, math, number theory",1400,6441
1866A,Ambitious Kid,math,800,13794
1864I,Future Dominators,"graphs, greedy",3500,68
1864H,Asterism Stream,"dp, math, matrices",3200,231
1864G,Magic Square,"combinatorics, constructive algorithms, implementation",3100,229
1864F,Exotic Queries,"data structures, implementation, sortings",2300,1215
1864E ,Guess Game,"bitmasks, data structures, games, math, probabilities, sortings, strings, trees",2100,2339
1864D,Matrix Cascade,"brute force, constructive algorithms, data structures, dp, greedy, math",1700,5918
1864C,Divisor Chain,"bitmasks, constructive algorithms, math, number theory",1300,11580
1864B,Swap and Reverse,"constructive algorithms, greedy, sortings, strings",1100,13933
1864A,Increasing and Decreasing,"constructive algorithms, greedy, implementation, math",800,19041
1863I,Redundant Routes,"constructive algorithms, dp, trees",3500,58
1863H,Goldberg Machine 3,"dp, trees",3500,61
